Time,Summary,Icon,Sunrise Time,Sunset Time,Moon Phase,Precipitation Intensity Max,Precipitation Intensity Max Time,Precipitation Probability,Temperature High,Temperature High Time,Temperature Low,Temperature Low Time,Apparent Temperature High,Apparent Temperature High Time,Apparent Temperature Low,Apparent Temperature Low Time,Temperature Minimum,Temperature Minimum Time,Temperature Maximum,Temperature Maximum Time,Apparent Temperature Minimum,Apparent Temperature Minimum Time,Apparent Temperature Max,Apparent Temperature Maximum Time
01-11-2017,Light rain in the morning and overnight.,rain,01-11-2017 07:21:47,01-11-2017 16:51:41,0.48,0.1361,01-11-2017 03:00:00,1,50.29,01-11-2017 15:00:00,43.16,01-11-2017 22:00:00,50.29,01-11-2017 15:00:00,43.16,01-11-2017 22:00:00,38.74,01-11-2017 02:00:00,50.29,01-11-2017 15:00:00,36.44,01-11-2017 03:00:00,50.29,01-11-2017 15:00:00
01-12-2017,Mostly cloudy throughout the day.,rain,01-12-2017 07:21:29,01-12-2017 16:52:45,0.52,0.077,01-12-2017 00:00:00,1,63,01-12-2017 14:00:00,45.32,01-13-2017 08:00:00,63,01-12-2017 14:00:00,41.94,01-13-2017 08:00:00,44.12,01-12-2017 00:00:00,63,01-12-2017 14:00:00,44.12,01-12-2017 00:00:00,63,01-12-2017 14:00:00
01-13-2017,Partly cloudy throughout the day.,partly-cloudy-day,01-13-2017 07:21:08,01-13-2017 16:53:50,0.56,0,0,0,47.54,01-13-2017 07:00:00,26.56,01-14-2017 07:00:00,45.38,01-13-2017 07:00:00,26.56,01-14-2017 07:00:00,30.9,01-13-2017 23:00:00,59.08,01-13-2017 00:00:00,27.22,01-13-2017 22:00:00,59.08,01-13-2017 00:00:00
01-14-2017,Foggy in the afternoon.,partly-cloudy-day,01-14-2017 07:20:46,01-14-2017 16:54:56,0.59,0.0008,01-14-2017 17:00:00,0.06,31.76,01-14-2017 13:00:00,26.51,01-15-2017 07:00:00,31.76,01-14-2017 13:00:00,26.51,01-15-2017 07:00:00,26.56,01-14-2017 07:00:00,31.76,01-14-2017 13:00:00,26.56,01-14-2017 07:00:00,31.76,01-14-2017 13:00:00
01-15-2017,Possible drizzle in the afternoon.,rain,01-15-2017 07:20:21,01-15-2017 16:56:03,0.63,0.0052,01-15-2017 13:00:00,0.43,37.46,01-15-2017 15:00:00,20.62,01-16-2017 07:00:00,36.84,01-15-2017 16:00:00,20.62,01-16-2017 07:00:00,26.48,01-15-2017 23:00:00,37.46,01-15-2017 15:00:00,26.48,01-15-2017 23:00:00,36.84,01-15-2017 16:00:00
01-16-2017,Clear throughout the day.,partly-cloudy-day,01-16-2017 07:19:54,01-16-2017 16:57:11,0.66,0.0003,01-16-2017 13:00:00,0.14,42.38,01-16-2017 15:00:00,36.52,01-17-2017 06:00:00,41.61,01-16-2017 14:00:00,36.52,01-17-2017 06:00:00,20.62,01-16-2017 07:00:00,42.38,01-16-2017 15:00:00,20.62,01-16-2017 07:00:00,41.61,01-16-2017 14:00:00
01-17-2017,Light rain throughout the day.,rain,01-17-2017 07:19:26,01-17-2017 16:58:20,0.69,0.0783,01-17-2017 19:00:00,1,38.08,01-17-2017 19:00:00,36.75,01-18-2017 04:00:00,38.08,01-17-2017 19:00:00,36.75,01-18-2017 04:00:00,36.52,01-17-2017 06:00:00,38.18,01-17-2017 21:00:00,36.52,01-17-2017 06:00:00,38.18,01-17-2017 21:00:00
01-18-2017,Light rain in the morning.,rain,01-18-2017 07:18:55,01-18-2017 16:59:29,0.72,0.0234,01-18-2017 04:00:00,0.94,40.5,01-18-2017 16:00:00,35.77,01-19-2017 07:00:00,40.5,01-18-2017 16:00:00,35.77,01-19-2017 07:00:00,36.75,01-18-2017 04:00:00,40.5,01-18-2017 16:00:00,36.75,01-18-2017 04:00:00,40.5,01-18-2017 16:00:00
01-19-2017,Mostly cloudy throughout the day.,partly-cloudy-day,01-19-2017 07:18:22,01-19-2017 17:00:39,0.75,0,0,0,45.85,01-19-2017 12:00:00,36.52,01-20-2017 00:00:00,43.45,01-19-2017 12:00:00,36.52,01-20-2017 00:00:00,35.77,01-19-2017 07:00:00,45.85,01-19-2017 12:00:00,35.77,01-19-2017 07:00:00,43.45,01-19-2017 12:00:00
01-20-2017,Light rain starting in the afternoon.,rain,01-20-2017 07:17:47,01-20-2017 17:01:50,0.78,0.0382,01-20-2017 17:00:00,0.99,42.63,01-20-2017 13:00:00,39.85,01-20-2017 19:00:00,42.63,01-20-2017 13:00:00,39.85,01-20-2017 19:00:00,36.52,01-20-2017 00:00:00,42.63,01-20-2017 13:00:00,36.52,01-20-2017 00:00:00,42.63,01-20-2017 13:00:00
01-21-2017,"Foggy until morning, starting again in the evening.",cloudy,01-21-2017 07:17:10,01-21-2017 17:03:02,0.81,0.0007,01-21-2017 00:00:00,0.2,47.23,01-21-2017 14:00:00,42.46,01-22-2017 07:00:00,47.23,01-21-2017 14:00:00,42.46,01-22-2017 07:00:00,39.98,01-21-2017 00:00:00,47.23,01-21-2017 14:00:00,39.98,01-21-2017 00:00:00,47.23,01-21-2017 14:00:00
01-22-2017,Possible drizzle in the evening.,rain,01-22-2017 07:16:31,01-22-2017 17:04:14,0.84,0.005,01-22-2017 18:00:00,0.38,47.61,01-22-2017 15:00:00,39.69,01-23-2017 08:00:00,47.61,01-22-2017 15:00:00,34.1,01-23-2017 08:00:00,42.46,01-22-2017 07:00:00,47.61,01-22-2017 15:00:00,41.5,01-22-2017 23:00:00,47.61,01-22-2017 15:00:00
01-23-2017,Rain throughout the day.,rain,01-23-2017 07:15:50,01-23-2017 17:05:26,0.88,0.1497,01-23-2017 20:00:00,1,40.37,01-23-2017 07:00:00,34.49,01-24-2017 07:00:00,35.09,01-23-2017 07:00:00,29.27,01-23-2017 21:00:00,35.4,01-23-2017 20:00:00,44.31,01-23-2017 00:00:00,29.27,01-23-2017 21:00:00,40.63,01-23-2017 00:00:00
01-24-2017,Light rain throughout the day.,rain,01-24-2017 07:15:07,01-24-2017 17:06:39,0.91,0.1235,01-24-2017 00:00:00,1,38.09,01-24-2017 18:00:00,35.64,01-25-2017 00:00:00,33.77,01-24-2017 17:00:00,30.1,01-25-2017 00:00:00,34.49,01-24-2017 07:00:00,38.09,01-24-2017 18:00:00,29.6,01-24-2017 07:00:00,33.77,01-24-2017 17:00:00
01-25-2017,Mostly cloudy throughout the day.,partly-cloudy-day,01-25-2017 07:14:22,01-25-2017 17:07:52,0.94,0.0006,01-25-2017 00:00:00,0.11,48.72,01-25-2017 16:00:00,40.93,01-25-2017 20:00:00,47.76,01-25-2017 16:00:00,40.93,01-25-2017 20:00:00,35.64,01-25-2017 00:00:00,48.72,01-25-2017 16:00:00,30.1,01-25-2017 00:00:00,47.76,01-25-2017 16:00:00
01-26-2017,Possible drizzle in the morning.,rain,01-26-2017 07:13:36,01-26-2017 17:09:06,0.97,0.0029,01-26-2017 10:00:00,0.35,52.4,01-26-2017 13:00:00,39.17,01-27-2017 07:00:00,52.4,01-26-2017 13:00:00,34.53,01-27-2017 07:00:00,41.08,01-26-2017 23:00:00,52.4,01-26-2017 13:00:00,37.42,01-26-2017 23:00:00,52.4,01-26-2017 13:00:00
01-27-2017,Overcast throughout the day.,partly-cloudy-day,01-27-2017 07:12:47,01-27-2017 17:10:20,0,0,0,0,41.22,01-27-2017 11:00:00,32.34,01-28-2017 07:00:00,36.21,01-27-2017 11:00:00,27.73,01-28-2017 07:00:00,34.54,01-27-2017 23:00:00,41.22,01-27-2017 11:00:00,29.93,01-27-2017 23:00:00,36.86,01-27-2017 00:00:00
01-28-2017,Overcast throughout the day.,cloudy,01-28-2017 07:11:57,01-28-2017 17:11:34,0.04,0,0,0,36.48,01-28-2017 13:00:00,29.92,01-29-2017 04:00:00,35.4,01-28-2017 18:00:00,29.92,01-29-2017 04:00:00,32.34,01-28-2017 07:00:00,36.48,01-28-2017 13:00:00,27.73,01-28-2017 07:00:00,35.4,01-28-2017 18:00:00
01-29-2017,Mostly cloudy throughout the day.,partly-cloudy-day,01-29-2017 07:11:05,01-29-2017 17:12:48,0.07,0,0,0,41.19,01-29-2017 14:00:00,28.44,01-30-2017 07:00:00,37.26,01-29-2017 14:00:00,28.44,01-30-2017 07:00:00,29.92,01-29-2017 04:00:00,41.19,01-29-2017 14:00:00,29.92,01-29-2017 04:00:00,37.26,01-29-2017 14:00:00
01-30-2017,Mostly cloudy throughout the day.,partly-cloudy-day,01-30-2017 07:10:11,01-30-2017 17:14:03,0.1,0,0,0,35.68,01-30-2017 14:00:00,22.97,01-31-2017 07:00:00,31.52,01-30-2017 18:00:00,22.97,01-31-2017 07:00:00,28.01,01-30-2017 23:00:00,35.68,01-30-2017 14:00:00,28.01,01-30-2017 23:00:00,31.52,01-30-2017 18:00:00
01-31-2017,Foggy in the morning.,partly-cloudy-day,01-31-2017 07:09:16,01-31-2017 17:15:18,0.14,0,0,0,29.65,01-31-2017 17:00:00,27.98,02-01-2017 00:00:00,29.65,01-31-2017 17:00:00,27.98,02-01-2017 00:00:00,22.97,01-31-2017 07:00:00,29.65,01-31-2017 17:00:00,22.97,01-31-2017 07:00:00,29.65,01-31-2017 17:00:00
02-01-2017,Possible drizzle in the morning and afternoon.,rain,02-01-2017 07:08:18,02-01-2017 17:16:33,0.17,0.0055,02-01-2017 11:00:00,0.43,45.71,02-01-2017 14:00:00,29.82,02-02-2017 04:00:00,42.52,02-01-2017 14:00:00,29.82,02-02-2017 04:00:00,27.98,02-01-2017 00:00:00,45.71,02-01-2017 14:00:00,27.98,02-01-2017 00:00:00,42.52,02-01-2017 14:00:00
02-02-2017,Mostly cloudy throughout the day.,partly-cloudy-day,02-02-2017 07:07:19,02-02-2017 17:17:47,0.21,0,0,0,42.19,02-02-2017 14:00:00,22.76,02-03-2017 07:00:00,37.88,02-02-2017 14:00:00,21.4,02-03-2017 04:00:00,29.82,02-02-2017 04:00:00,42.19,02-02-2017 14:00:00,29.82,02-02-2017 04:00:00,37.88,02-02-2017 14:00:00
02-03-2017,Partly cloudy throughout the day.,partly-cloudy-day,02-03-2017 07:06:19,02-03-2017 17:19:02,0.25,0,0,0,31.91,02-03-2017 15:00:00,19.09,02-04-2017 07:00:00,27.5,02-03-2017 15:00:00,14.09,02-04-2017 03:00:00,22.76,02-03-2017 07:00:00,31.91,02-03-2017 15:00:00,19.62,02-03-2017 23:00:00,29.44,02-03-2017 00:00:00
02-04-2017,Clear throughout the day.,clear-day,02-04-2017 07:05:16,02-04-2017 17:20:17,0.28,0,0,0,33.24,02-04-2017 15:00:00,26.98,02-05-2017 04:00:00,30.45,02-04-2017 18:00:00,25.4,02-05-2017 08:00:00,19.09,02-04-2017 07:00:00,33.24,02-04-2017 15:00:00,14.09,02-04-2017 03:00:00,30.45,02-04-2017 18:00:00
02-05-2017,Mostly cloudy throughout the day.,partly-cloudy-day,02-05-2017 07:04:13,02-05-2017 17:21:32,0.32,0,0,0,39.75,02-05-2017 16:00:00,34.23,02-06-2017 08:00:00,37.77,02-05-2017 18:00:00,33.64,02-06-2017 06:00:00,26.98,02-05-2017 04:00:00,39.75,02-05-2017 16:00:00,25.4,02-05-2017 08:00:00,39.04,02-05-2017 23:00:00
02-06-2017,Clear throughout the day.,partly-cloudy-day,02-06-2017 07:03:07,02-06-2017 17:22:47,0.36,0,0,0,48.45,02-06-2017 16:00:00,31.64,02-07-2017 03:00:00,47.14,02-06-2017 16:00:00,31.64,02-07-2017 03:00:00,33.71,02-06-2017 23:00:00,48.45,02-06-2017 16:00:00,33.64,02-06-2017 06:00:00,47.14,02-06-2017 16:00:00
02-07-2017,"Light rain until afternoon, starting again overnight.",rain,02-07-2017 07:02:00,02-07-2017 17:24:01,0.39,0.0941,02-07-2017 12:00:00,1,38,02-07-2017 13:00:00,37.01,02-07-2017 19:00:00,38,02-07-2017 13:00:00,37.01,02-07-2017 19:00:00,31.64,02-07-2017 03:00:00,38,02-07-2017 13:00:00,31.64,02-07-2017 03:00:00,38,02-07-2017 13:00:00
02-08-2017,Light rain in the morning.,rain,02-08-2017 07:00:52,02-08-2017 17:25:16,0.43,0.0228,02-08-2017 04:00:00,0.99,60.56,02-08-2017 14:00:00,28.48,02-09-2017 08:00:00,60.56,02-08-2017 14:00:00,22.29,02-09-2017 08:00:00,37.48,02-08-2017 08:00:00,60.56,02-08-2017 14:00:00,37.48,02-08-2017 08:00:00,60.56,02-08-2017 14:00:00
02-09-2017,Possible flurries in the morning.,snow,02-09-2017 06:59:42,02-09-2017 17:26:30,0.47,0.0074,02-09-2017 07:00:00,0.33,28.82,02-09-2017 07:00:00,16.39,02-10-2017 01:00:00,22.67,02-09-2017 07:00:00,8.35,02-09-2017 21:00:00,17.66,02-09-2017 23:00:00,41.61,02-09-2017 00:00:00,8.35,02-09-2017 21:00:00,41.61,02-09-2017 00:00:00
02-10-2017,Possible flurries in the afternoon.,snow,02-10-2017 06:58:31,02-10-2017 17:27:44,0.5,0.0062,02-10-2017 15:00:00,0.43,30.57,02-10-2017 15:00:00,26.35,02-10-2017 22:00:00,27.35,02-10-2017 19:00:00,23.74,02-10-2017 20:00:00,16.39,02-10-2017 01:00:00,30.57,02-10-2017 15:00:00,11.62,02-10-2017 03:00:00,27.35,02-10-2017 19:00:00
02-11-2017,Possible light rain until evening.,rain,02-11-2017 06:57:18,02-11-2017 17:28:58,0.54,0.0191,02-11-2017 14:00:00,0.62,46.56,02-11-2017 16:00:00,31.44,02-12-2017 08:00:00,46.56,02-11-2017 16:00:00,31.44,02-12-2017 08:00:00,26.89,02-11-2017 00:00:00,46.56,02-11-2017 16:00:00,26.89,02-11-2017 00:00:00,46.56,02-11-2017 16:00:00
02-12-2017,Light rain until evening.,rain,02-12-2017 06:56:04,02-12-2017 17:30:12,0.57,0.0255,02-12-2017 12:00:00,0.87,33.01,02-12-2017 19:00:00,32.05,02-13-2017 07:00:00,33.01,02-12-2017 19:00:00,25.02,02-13-2017 07:00:00,30.24,02-12-2017 11:00:00,36.03,02-12-2017 03:00:00,27.01,02-12-2017 10:00:00,36.03,02-12-2017 03:00:00
02-13-2017,Possible flurries in the afternoon.,snow,02-13-2017 06:54:49,02-13-2017 17:31:25,0.6,0.005,02-13-2017 13:00:00,0.33,35.8,02-13-2017 15:00:00,25.16,02-14-2017 07:00:00,28.65,02-13-2017 14:00:00,23.38,02-14-2017 01:00:00,29.32,02-13-2017 23:00:00,35.85,02-13-2017 03:00:00,23.67,02-13-2017 23:00:00,32.96,02-13-2017 00:00:00
02-14-2017,Partly cloudy throughout the day.,partly-cloudy-day,02-14-2017 06:53:32,02-14-2017 17:32:38,0.64,0.0064,02-14-2017 14:00:00,0.28,40.1,02-14-2017 16:00:00,27.12,02-15-2017 07:00:00,39.29,02-14-2017 17:00:00,27.12,02-15-2017 07:00:00,25.16,02-14-2017 07:00:00,40.1,02-14-2017 16:00:00,23.38,02-14-2017 01:00:00,39.29,02-14-2017 17:00:00
02-15-2017,Possible drizzle in the evening.,rain,02-15-2017 06:52:14,02-15-2017 17:33:51,0.67,0.0029,02-15-2017 13:00:00,0.35,46.61,02-15-2017 15:00:00,29.07,02-16-2017 07:00:00,46.42,02-15-2017 14:00:00,22.7,02-16-2017 08:00:00,27.12,02-15-2017 07:00:00,46.61,02-15-2017 15:00:00,27.12,02-15-2017 07:00:00,46.42,02-15-2017 14:00:00
02-16-2017,Partly cloudy throughout the day.,partly-cloudy-day,02-16-2017 06:50:55,02-16-2017 17:35:04,0.7,0,0,0,34.38,02-16-2017 13:00:00,24.81,02-17-2017 07:00:00,27.87,02-16-2017 14:00:00,19.48,02-17-2017 05:00:00,27.45,02-16-2017 23:00:00,34.38,02-16-2017 13:00:00,21.17,02-16-2017 23:00:00,29.06,02-16-2017 00:00:00
02-17-2017,Clear throughout the day.,clear-day,02-17-2017 06:49:35,02-17-2017 17:36:16,0.73,0,0,0,41,02-17-2017 16:00:00,27.15,02-18-2017 05:00:00,38.32,02-17-2017 18:00:00,27.15,02-18-2017 05:00:00,24.81,02-17-2017 07:00:00,41,02-17-2017 16:00:00,19.48,02-17-2017 05:00:00,38.32,02-17-2017 18:00:00
02-18-2017,Clear throughout the day.,clear-day,02-18-2017 06:48:13,02-18-2017 17:37:28,0.76,0,0,0,62.84,02-18-2017 16:00:00,48.75,02-19-2017 07:00:00,62.84,02-18-2017 16:00:00,48.75,02-19-2017 07:00:00,27.15,02-18-2017 05:00:00,62.84,02-18-2017 16:00:00,27.15,02-18-2017 05:00:00,62.84,02-18-2017 16:00:00
02-19-2017,Partly cloudy throughout the day.,partly-cloudy-day,02-19-2017 06:46:51,02-19-2017 17:38:40,0.79,0,0,0,64.58,02-19-2017 15:00:00,40.63,02-20-2017 07:00:00,64.58,02-19-2017 15:00:00,40.53,02-20-2017 08:00:00,48.51,02-19-2017 21:00:00,64.58,02-19-2017 15:00:00,48.51,02-19-2017 21:00:00,64.58,02-19-2017 15:00:00
02-20-2017,Clear throughout the day.,clear-day,02-20-2017 06:45:27,02-20-2017 17:39:51,0.82,0,0,0,52.98,02-20-2017 14:00:00,28.31,02-21-2017 06:00:00,52.98,02-20-2017 14:00:00,28.31,02-21-2017 06:00:00,36.8,02-20-2017 23:00:00,52.98,02-20-2017 14:00:00,36.8,02-20-2017 23:00:00,52.98,02-20-2017 14:00:00
02-21-2017,Partly cloudy throughout the day.,partly-cloudy-day,02-21-2017 06:44:02,02-21-2017 17:41:02,0.85,0,0,0,46.43,02-21-2017 14:00:00,39.36,02-22-2017 05:00:00,45.17,02-21-2017 15:00:00,39.36,02-22-2017 05:00:00,28.31,02-21-2017 06:00:00,46.43,02-21-2017 14:00:00,28.31,02-21-2017 06:00:00,45.17,02-21-2017 15:00:00
02-22-2017,Mostly cloudy throughout the day.,partly-cloudy-day,02-22-2017 06:42:37,02-22-2017 17:42:12,0.88,0,0,0,57.47,02-22-2017 16:00:00,38.19,02-23-2017 05:00:00,57.47,02-22-2017 16:00:00,38.19,02-23-2017 05:00:00,39.36,02-22-2017 05:00:00,57.47,02-22-2017 16:00:00,39.36,02-22-2017 05:00:00,57.47,02-22-2017 16:00:00
02-23-2017,Partly cloudy throughout the day.,partly-cloudy-day,02-23-2017 06:41:10,02-23-2017 17:43:23,0.91,0,0,0,66.76,02-23-2017 16:00:00,49.93,02-24-2017 07:00:00,66.76,02-23-2017 16:00:00,49.93,02-24-2017 07:00:00,38.19,02-23-2017 05:00:00,66.76,02-23-2017 16:00:00,38.19,02-23-2017 05:00:00,66.76,02-23-2017 16:00:00
02-24-2017,Partly cloudy throughout the day.,partly-cloudy-day,02-24-2017 06:39:42,02-24-2017 17:44:33,0.95,0,0,0,72.14,02-24-2017 14:00:00,53.73,02-25-2017 07:00:00,72.14,02-24-2017 14:00:00,53.73,02-25-2017 07:00:00,49.93,02-24-2017 07:00:00,72.14,02-24-2017 14:00:00,49.93,02-24-2017 07:00:00,72.14,02-24-2017 14:00:00
02-25-2017,Rain in the evening.,rain,02-25-2017 06:38:13,02-25-2017 17:45:42,0.98,0.2433,02-25-2017 19:00:00,1,67.17,02-25-2017 13:00:00,35.23,02-26-2017 07:00:00,67.17,02-25-2017 13:00:00,30.13,02-26-2017 07:00:00,44.79,02-25-2017 23:00:00,67.17,02-25-2017 13:00:00,41.17,02-25-2017 23:00:00,67.17,02-25-2017 13:00:00
02-26-2017,Mostly cloudy throughout the day.,partly-cloudy-day,02-26-2017 06:36:44,02-26-2017 17:46:51,0.02,0.0018,02-26-2017 01:00:00,0.23,40.57,02-26-2017 15:00:00,28.49,02-27-2017 04:00:00,36.05,02-26-2017 15:00:00,28.49,02-27-2017 04:00:00,31.47,02-26-2017 23:00:00,42.99,02-26-2017 00:00:00,30.13,02-26-2017 07:00:00,39.34,02-26-2017 00:00:00
02-27-2017,Mostly cloudy throughout the day.,partly-cloudy-day,02-27-2017 06:35:13,02-27-2017 17:48:00,0.05,0,0,0,52.19,02-27-2017 16:00:00,40.5,02-28-2017 07:00:00,52.19,02-27-2017 16:00:00,40.5,02-28-2017 07:00:00,28.49,02-27-2017 04:00:00,52.19,02-27-2017 16:00:00,28.49,02-27-2017 04:00:00,52.19,02-27-2017 16:00:00
02-28-2017,Mostly cloudy throughout the day.,partly-cloudy-day,02-28-2017 06:33:42,02-28-2017 17:49:08,0.09,0,0,0,60.39,02-28-2017 14:00:00,50.93,02-28-2017 23:00:00,60.39,02-28-2017 14:00:00,50.93,02-28-2017 23:00:00,40.5,02-28-2017 07:00:00,60.39,02-28-2017 14:00:00,40.5,02-28-2017 07:00:00,60.39,02-28-2017 14:00:00
03-01-2017,Rain until evening.,rain,03-01-2017 06:32:10,03-01-2017 17:50:16,0.13,0.1035,03-01-2017 12:00:00,1,67.68,03-01-2017 17:00:00,43.45,03-02-2017 08:00:00,67.72,03-01-2017 17:00:00,37.55,03-02-2017 08:00:00,51.36,03-01-2017 00:00:00,67.68,03-01-2017 17:00:00,51.36,03-01-2017 00:00:00,67.72,03-01-2017 17:00:00
03-02-2017,Partly cloudy throughout the day.,partly-cloudy-day,03-02-2017 06:30:38,03-02-2017 17:51:24,0.16,0.001,03-02-2017 02:00:00,0.19,45.13,03-02-2017 07:00:00,27.39,03-03-2017 07:00:00,39.97,03-02-2017 14:00:00,23.41,03-03-2017 08:00:00,34.48,03-02-2017 23:00:00,62.12,03-02-2017 00:00:00,31.11,03-02-2017 23:00:00,62.12,03-02-2017 00:00:00
03-03-2017,Mostly cloudy throughout the day.,partly-cloudy-day,03-03-2017 06:29:04,03-03-2017 17:52:32,0.2,0,0,0,36.93,03-03-2017 14:00:00,18.8,03-04-2017 06:00:00,31.32,03-03-2017 15:00:00,13.63,03-04-2017 03:00:00,23.97,03-03-2017 23:00:00,36.93,03-03-2017 14:00:00,16.21,03-03-2017 23:00:00,31.32,03-03-2017 15:00:00
03-04-2017,Partly cloudy throughout the day.,partly-cloudy-day,03-04-2017 06:27:30,03-04-2017 17:53:39,0.24,0,0,0,28.69,03-04-2017 13:00:00,12.26,03-05-2017 06:00:00,20.37,03-04-2017 13:00:00,4.87,03-05-2017 04:00:00,15.91,03-04-2017 23:00:00,28.69,03-04-2017 13:00:00,7.4,03-04-2017 23:00:00,20.37,03-04-2017 13:00:00
03-05-2017,Clear throughout the day.,clear-day,03-05-2017 06:25:55,03-05-2017 17:54:45,0.27,0,0,0,35.77,03-05-2017 16:00:00,18.99,03-06-2017 04:00:00,33.15,03-05-2017 18:00:00,18.99,03-06-2017 04:00:00,12.26,03-05-2017 06:00:00,35.77,03-05-2017 16:00:00,4.87,03-05-2017 04:00:00,33.15,03-05-2017 18:00:00
03-06-2017,Mostly cloudy throughout the day.,partly-cloudy-day,03-06-2017 06:24:20,03-06-2017 17:55:52,0.31,0,0,0,44.55,03-06-2017 15:00:00,38.97,03-06-2017 20:00:00,43.45,03-06-2017 15:00:00,38.97,03-06-2017 20:00:00,18.99,03-06-2017 04:00:00,44.55,03-06-2017 15:00:00,18.99,03-06-2017 04:00:00,43.45,03-06-2017 15:00:00
